train_loss_step,train_acc_step,epoch,step,val_loss,val_acc,train_loss_epoch,train_acc_epoch,test_loss,test_acc
4.4807658195495605,0.25,0,49,,,,,,
2.417271852493286,0.53125,0,99,,,,,,
1.4224594831466675,0.65625,0,149,,,,,,
1.0737581253051758,0.734375,0,199,,,,,,
0.9283206462860107,0.78125,0,249,,,,,,
1.0671340227127075,0.75,0,299,,,,,,
0.706743597984314,0.8125,0,349,,,,,,
0.44872674345970154,0.953125,0,399,,,,,,
0.8158953189849854,0.6875,0,449,,,,,,
0.505611777305603,0.84375,0,499,,,,,,
0.36995384097099304,0.90625,0,549,,,,,,
0.6368196606636047,0.8125,0,599,,,,,,
0.47098270058631897,0.859375,0,649,,,,,,
0.3992808163166046,0.90625,0,699,,,,,,
0.5582191348075867,0.890625,0,749,,,,,,
0.37745875120162964,0.890625,0,799,,,,,,
0.3280613124370575,0.890625,0,849,,,,,,
0.4599328935146332,0.859375,0,899,,,,,,
0.38769257068634033,0.875,0,949,,,,,,
0.220057874917984,0.9375,0,999,,,,,,
0.2726048529148102,0.9375,0,1049,,,,,,
0.383235901594162,0.90625,0,1099,,,,,,
0.42804422974586487,0.875,0,1149,,,,,,
0.4879169464111328,0.828125,0,1199,,,,,,
0.585373044013977,0.8125,0,1249,,,,,,
0.5417231321334839,0.859375,0,1299,,,,,,
,,0,1322,0.2644219696521759,0.9264761805534363,,,,
,,0,1322,,,0.9718763828277588,0.7859987020492554,,
0.2576707601547241,0.953125,1,1349,,,,,,
0.3861722946166992,0.90625,1,1399,,,,,,
0.3345961272716522,0.890625,1,1449,,,,,,
0.1336289793252945,0.96875,1,1499,,,,,,
0.5658922791481018,0.859375,1,1549,,,,,,
0.2864060401916504,0.9375,1,1599,,,,,,
0.22930024564266205,0.921875,1,1649,,,,,,
0.2512584924697876,0.9375,1,1699,,,,,,
0.21783258020877838,0.9375,1,1749,,,,,,
0.5250737071037292,0.859375,1,1799,,,,,,
0.2870745360851288,0.921875,1,1849,,,,,,
0.3180356025695801,0.875,1,1899,,,,,,
0.4044399559497833,0.859375,1,1949,,,,,,
0.23022831976413727,0.90625,1,1999,,,,,,
0.6180967092514038,0.875,1,2049,,,,,,
0.35681024193763733,0.890625,1,2099,,,,,,
0.28614717721939087,0.921875,1,2149,,,,,,
0.18709461390972137,0.953125,1,2199,,,,,,
0.1532367318868637,0.953125,1,2249,,,,,,
0.194011390209198,0.9375,1,2299,,,,,,
0.3551575839519501,0.890625,1,2349,,,,,,
0.14916028082370758,0.953125,1,2399,,,,,,
0.22123949229717255,0.9375,1,2449,,,,,,
0.19010621309280396,0.953125,1,2499,,,,,,
0.31626424193382263,0.921875,1,2549,,,,,,
0.32544729113578796,0.90625,1,2599,,,,,,
,,1,2645,0.1854548454284668,0.9485714435577393,,,,
,,1,2645,,,0.29525893926620483,0.9209665060043335,,
0.09945134818553925,0.96875,2,2649,,,,,,
0.2652747929096222,0.921875,2,2699,,,,,,
0.12263154238462448,0.96875,2,2749,,,,,,
0.0882747694849968,0.96875,2,2799,,,,,,
0.05566078796982765,0.984375,2,2849,,,,,,
0.09850336611270905,0.953125,2,2899,,,,,,
0.13661615550518036,0.953125,2,2949,,,,,,
0.34194374084472656,0.96875,2,2999,,,,,,
0.19667744636535645,0.90625,2,3049,,,,,,
0.2985759973526001,0.921875,2,3099,,,,,,
